timestamp,x,y,p
0,100,150,0
1,98,150,0
2,105,154,1
3,99,141,1
4,104,154,1
5,100,148,1
6,99,149,0
7,106,151,1
8,94,146,0
9,104,153,1
10,99,150,1
11,100,150,0
12,104,151,1
13,91,149,0
14,103,159,0
15,94,147,0
16,103,151,0
17,102,152,0
18,99,147,1
19,109,154,0
20,94,150,1
21,106,152,0
22,101,151,1
23,96,147,1
24,108,152,0
25,97,141,1
26,104,152,1
27,100,149,0
28,100,146,1
29,107,154,1
30,101,149,0
31,106,156,0
32,101,148,1
33,101,149,0
34,102,156,1
35,100,147,0
36,109,154,0
37,100,145,0
38,103,151,0
39,105,153,1
40,101,149,0
41,110,159,1
42,102,142,0
43,104,152,1
44,102,151,0
45,102,148,0
46,108,155,0
47,100,148,1
48,108,151,0
49,102,150,1
50,100,148,1
51,108,156,0
52,101,143,1
53,104,155,1
54,101,148,1
55,101,148,1
56,103,151,1
57,98,142,1
58,107,153,0
59,97,149,1
60,103,150,0
61,107,153,1
62,102,146,1
63,106,152,0
64,98,145,1
65,105,152,0
66,104,150,1
67,99,144,0
68,106,157,0
69,99,144,0
70,104,155,0
71,104,150,1
72,101,147,0
73,109,153,1
74,98,147,1
75,109,156,0
76,103,148,1
77,104,149,0
78,106,153,0
79,101,143,1
80,107,154,1
81,103,146,0
82,104,150,1
83,106,151,1
84,104,142,1
85,111,152,1
86,100,147,1
87,106,151,0
88,106,153,1
89,100,149,1
90,112,151,0
91,102,144,0
92,109,150,0
93,105,151,0
94,100,144,0
95,110,154,1
96,102,142,0
97,105,157,1
98,104,148,0
99,102,149,1
100,112,150,0
101,97,140,0
102,110,156,0
103,103,150,1
104,105,149,1
105,110,156,0
106,104,143,1
107,107,157,0
108,102,149,1
109,106,150,0
110,109,153,0
111,98,143,1
112,106,159,1
113,101,145,0
114,108,153,0
115,106,151,1
116,105,148,1
117,108,156,1
118,100,146,1
119,109,151,1
120,106,149,1
121,104,146,0
122,113,151,0
123,99,141,1
124,106,154,1
125,103,149,0
126,105,148,0
127,110,156,0
128,97,149,1
129,110,158,0
130,106,147,0
131,107,150,0
132,108,153,1
133,98,149,1
134,109,150,0
135,106,148,0
136,110,152,1
137,108,150,0
138,100,143,1
139,116,150,0
140,103,144,1
141,111,154,1
142,107,149,1
143,105,149,1
144,115,156,0
145,104,148,1
146,108,152,0
147,105,148,0
148,105,149,1
149,109,154,1
150,101,142,1
151,113,154,0
152,105,147,1
153,108,149,1
154,113,152,0
155,99,149,1
156,116,150,0
157,106,144,1
158,109,149,1
159,109,151,1
160,106,143,0
161,110,150,0
162,102,146,0
